letter	frequency
38331	0.08176100628930817
38393	0.12578616352201258
38394	0.12578616352201258
38771	0.012578616352201259
38831	0.0440251572327044
38381	0.3081761006289308
36905	0.012578616352201259
37559	0.050314465408805034
37015	0.22012578616352202
37677	0.2578616352201258
37674	0.13836477987421383
38770	0.0440251572327044
38778	0.050314465408805034
38777	0.025157232704402517
38461	0.9308176100628931
36570	0.13836477987421383
37930	0.1761006289308176
38395	0.03773584905660377
37712	0.16352201257861634
37653	0.16352201257861634
38169	0.12578616352201258
36519	1.0
38410	0.012578616352201259
37255	0.006289308176100629
37675	0.13836477987421383
37676	0.4088050314465409
38154	0.012578616352201259
38329	0.006289308176100629
39087	0.11949685534591195
37103	0.6729559748427673
38998	0.006289308176100629
40124	0.11949685534591195
38539	0.34591194968553457
40158	0.031446540880503145
39250	0.006289308176100629
36814	0.4339622641509434
36736	0.13836477987421383
40345	0.0440251572327044
40409	0.08176100628930817
40366	0.12578616352201258
40725	0.10062893081761007
39251	0.006289308176100629
40486	0.0440251572327044
40346	0.08176100628930817
40350	0.03773584905660377
38775	0.0440251572327044
36658	0.07547169811320754
40352	0.050314465408805034
40447	0.08176100628930817
40805	0.050314465408805034
40772	0.12578616352201258
40810	0.0880503144654088
